Time t, s;Temperature T, C;Cooling rate dT/dt, C/s
0.0500;127.9555;1390.6206
0.5538;828.5244;1334.8759
1.0576;1472.9271;1240.9460
1.5613;2078.8557;1166.2389
2.0651;2647.9863;1097.0401
2.5689;3184.1927;1035.7886
3.0727;3691.6086;982.2949
3.5765;4173.9167;935.5444
4.0803;4634.2286;894.4553
4.5840;5075.1368;712.1419
5.0878;5351.7564;-6.5274
5.5916;5068.5600;-526.4503
6.0954;4821.3245;-465.1081
6.5992;4599.9343;-414.5856
7.1029;4403.6034;-367.8022
7.6067;4229.3504;-327.2281
8.1105;4073.9005;-292.7882
8.6143;3934.3478;-263.6367
9.1181;3808.2699;-238.8577
9.6218;3693.6836;-217.6542
10.1256;3588.9696;-199.3759
10.6294;3492.7999;-183.5035
11.1332;3404.0782;-169.6243
11.6370;3321.8927;-157.4088
12.1408;3245.4789;-146.5928
12.6445;3174.1912;-136.9629
13.1483;3107.4802;-128.3452
13.6521;3044.8753;-120.5970
14.1559;2985.9710;-113.6004
14.6597;2930.4158;-107.2570
15.1634;2877.9029;-101.4844
15.6672;2828.1638;-96.2132
16.1710;2780.9620;-91.3844
16.6748;2736.0883;-86.9474
17.1786;2693.3570;-82.8592
17.6824;2652.6024;-79.0823
18.1861;2613.6766;-75.5844
18.6899;2576.4464;-72.3374
19.1937;2540.7921;-69.3166
19.6975;2506.6055;-66.5005
20.2013;2473.7886;-63.8699
20.7050;2442.2526;-61.4080
21.2088;2411.9162;-59.0999
21.7126;2382.7057;-56.9323
22.2164;2354.5534;-54.8933
22.7202;2327.3973;-52.9723
23.2239;2301.1805;-51.1597
23.7277;2275.8507;-49.4469
24.2315;2251.3596;-47.8262
24.7353;2227.6627;-46.2906
25.2391;2204.7189;-44.8338
25.7429;2182.4899;-43.4498
26.2466;2160.9404;-42.1337
26.7504;2140.0376;-40.8804
27.2542;2119.7509;-39.6857
27.7580;2100.0518;-38.5456
28.2618;2080.9138;-37.4564
28.7655;2062.3121;-36.4147
29.2693;2044.2236;-35.4176
29.7731;2026.6266;-34.4621
30.2769;2009.5009;-33.5457
30.7807;1992.8272;-32.6659
31.2845;1976.5879;-31.8206
31.7882;1960.7660;-31.0077
32.2920;1945.3457;-30.2253
32.7958;1930.3121;-29.4716
33.2996;1915.6512;-28.7451
33.8034;1901.3497;-28.0441
34.3071;1887.3949;-27.3675
34.8109;1873.7752;-26.7138
35.3147;1860.4792;-26.0818
35.8185;1847.4962;-25.4704
36.3223;1834.8161;-24.8786
36.8261;1822.4294;-24.3054
37.3298;1810.3269;-23.7499
37.8336;1798.4999;-23.2113
38.3374;1786.9401;-22.6887
38.8412;1775.6396;-22.1814
39.3450;1764.5909;-21.6888
39.8487;1753.7868;-21.2102
40.3525;1743.2203;-20.7449
40.8563;1732.8850;-20.2925
41.3601;1722.7744;-19.8523
41.8639;1712.8825;-19.4239
42.3676;1703.2036;-19.0068
42.8714;1693.7319;-18.6006
43.3752;1684.4623;-18.2049
43.8790;1675.3894;-17.8191
44.3828;1666.5084;-17.4431
44.8866;1657.8144;-17.0764
45.3903;1649.3028;-16.7187
45.8941;1640.9693;-16.3697
46.3979;1632.8094;-16.0290
46.9017;1624.8190;-15.6965
47.4055;1616.9941;-15.3718
47.9092;1609.3309;-15.0547
48.4130;1601.8256;-14.7450
48.9168;1594.4744;-14.4423
49.4206;1587.2740;-14.1466
49.9244;1580.2208;-13.8575
50.4282;1573.3117;-13.5750
50.9319;1566.5432;-13.2987
51.4357;1559.9123;-13.0286
51.9395;1553.4160;-12.7644
52.4433;1547.0513;-12.5061
52.9471;1540.8154;-12.2533
53.4508;1534.7054;-12.0060
53.9546;1528.7186;-11.7640
54.4584;1522.8524;-11.5273
54.9622;1517.1041;-11.2955
55.4660;1511.4714;-11.0687
55.9697;1505.9517;-10.8468
56.4735;1500.5426;-10.6294
56.9773;1495.2419;-10.4167
57.4811;1490.0471;-10.2084
57.9849;1484.9563;-10.0044
58.4887;1479.9670;-9.8047
58.9924;1475.0774;-9.6091
59.4962;1470.2852;-9.4176
60.0000;1465.5886;-9.3228
